index,seed,target_concept,base_post_change_mae,adapter_post_change_mae,post_motion_suppression_percent,early_base_adapter_mae,late_base_adapter_mae,base_video,adapter_video,contact_sheet
0,12000,one small red rubber ball,0.00431640,0.00392987,8.95,0.15348141,0.15373121,outputs/collision_specificity8_base/videos/000_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-three-blu_seed12000.mp4,outputs/collision_specificity8_bg4/videos/000_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-three-blu_seed12000.mp4,outputs/collision_specificity8_contact_sheets/collision_validation_00.jpg
1,12001,one small red rubber ball,0.00340061,0.00602501,-77.17,0.10894227,0.10838693,outputs/collision_specificity8_base/videos/001_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-four-silv_seed12001.mp4,outputs/collision_specificity8_bg4/videos/001_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-four-silv_seed12001.mp4,outputs/collision_specificity8_contact_sheets/collision_validation_01.jpg
2,12002,one small red rubber ball,0.00233155,0.00258586,-10.91,0.07139529,0.07145680,outputs/collision_specificity8_base/videos/002_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-three-gre_seed12002.mp4,outputs/collision_specificity8_bg4/videos/002_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-three-gre_seed12002.mp4,outputs/collision_specificity8_contact_sheets/collision_validation_02.jpg
3,12003,one small red rubber ball,0.00311418,0.00308005,1.10,0.10212556,0.10275286,outputs/collision_specificity8_base/videos/003_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-three-whi_seed12003.mp4,outputs/collision_specificity8_bg4/videos/003_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-three-whi_seed12003.mp4,outputs/collision_specificity8_contact_sheets/collision_validation_03.jpg
4,12004,single falling water droplet,0.04844375,0.00388789,91.97,0.09348409,0.12783732,outputs/collision_specificity8_base/videos/004_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed12004.mp4,outputs/collision_specificity8_bg4/videos/004_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed12004.mp4,outputs/collision_specificity8_contact_sheets/collision_validation_04.jpg
5,12005,single falling water droplet,0.00676891,0.00281142,58.47,0.01927838,0.02336148,outputs/collision_specificity8_base/videos/005_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed12005.mp4,outputs/collision_specificity8_bg4/videos/005_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed12005.mp4,outputs/collision_specificity8_contact_sheets/collision_validation_05.jpg
6,12006,single falling water droplet,0.01736007,0.00195437,88.74,0.02722257,0.04387518,outputs/collision_specificity8_base/videos/006_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed12006.mp4,outputs/collision_specificity8_bg4/videos/006_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed12006.mp4,outputs/collision_specificity8_contact_sheets/collision_validation_06.jpg
7,12007,single falling water droplet,0.02521201,0.00503488,80.03,0.08479974,0.09748333,outputs/collision_specificity8_base/videos/007_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed12007.mp4,outputs/collision_specificity8_bg4/videos/007_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed12007.mp4,outputs/collision_specificity8_contact_sheets/collision_validation_07.jpg
