index,seed,target_concept,base_post_change_mae,adapter_post_change_mae,post_motion_suppression_percent,early_base_adapter_mae,late_base_adapter_mae,base_video,adapter_video,contact_sheet
0,11013,one small red rubber ball,0.04048868,0.01708808,57.80,0.06779898,0.08074220,outputs/collision_validation7_base/videos/000_a-simple-realistic-side-view-tabletop-video-fixed-camera-one-continuous_seed11013.mp4,outputs/collision_causal_gate_ckpt025_target2/videos/000_a-simple-realistic-side-view-tabletop-video-fixed-camera-one-continuous_seed11013.mp4,outputs/collision_causal_gate_ckpt025_target2_contact_sheets/collision_validation_00.jpg
1,11019,one small red rubber ball,0.05433446,0.01013110,81.35,0.10093643,0.11724371,outputs/collision_validation7_base/videos/001_a-simple-realistic-side-view-tabletop-video-fixed-camera-one-continuous_seed11019.mp4,outputs/collision_causal_gate_ckpt025_target2/videos/001_a-simple-realistic-side-view-tabletop-video-fixed-camera-one-continuous_seed11019.mp4,outputs/collision_causal_gate_ckpt025_target2_contact_sheets/collision_validation_01.jpg
