index,seed,target_concept,base_post_change_mae,adapter_post_change_mae,post_motion_suppression_percent,early_base_adapter_mae,late_base_adapter_mae,base_video,adapter_video,contact_sheet
0,12000,one small red rubber ball,0.00431640,0.00312988,27.49,0.17288764,0.17370634,outputs/collision_specificity8_base/videos/000_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-three-blu_seed12000.mp4,outputs/collision_causal_gate_100_specificity8/videos/000_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-three-blu_seed12000.mp4,outputs/collision_causal_gate_100_specificity8_contact_sheets/collision_validation_00.jpg
1,12001,one small red rubber ball,0.00340061,0.00199863,41.23,0.11201304,0.11190312,outputs/collision_specificity8_base/videos/001_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-four-silv_seed12001.mp4,outputs/collision_causal_gate_100_specificity8/videos/001_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-four-silv_seed12001.mp4,outputs/collision_causal_gate_100_specificity8_contact_sheets/collision_validation_01.jpg
2,12002,one small red rubber ball,0.00233155,0.00270794,-16.14,0.28259051,0.28238469,outputs/collision_specificity8_base/videos/002_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-three-gre_seed12002.mp4,outputs/collision_causal_gate_100_specificity8/videos/002_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-three-gre_seed12002.mp4,outputs/collision_causal_gate_100_specificity8_contact_sheets/collision_validation_02.jpg
3,12003,one small red rubber ball,0.00311418,0.00289251,7.12,0.17052412,0.17132297,outputs/collision_specificity8_base/videos/003_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-three-whi_seed12003.mp4,outputs/collision_causal_gate_100_specificity8/videos/003_a-realistic-fixed-camera-tabletop-video-in-one-continuous-shot-three-whi_seed12003.mp4,outputs/collision_causal_gate_100_specificity8_contact_sheets/collision_validation_03.jpg
4,12004,single falling water droplet,0.04844375,0.01557622,67.85,0.12199035,0.14937729,outputs/collision_specificity8_base/videos/004_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed12004.mp4,outputs/collision_causal_gate_100_specificity8/videos/004_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed12004.mp4,outputs/collision_causal_gate_100_specificity8_contact_sheets/collision_validation_04.jpg
5,12005,single falling water droplet,0.00676891,0.00308266,54.46,0.10334174,0.10451890,outputs/collision_specificity8_base/videos/005_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed12005.mp4,outputs/collision_causal_gate_100_specificity8/videos/005_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed12005.mp4,outputs/collision_causal_gate_100_specificity8_contact_sheets/collision_validation_05.jpg
6,12006,single falling water droplet,0.01736007,0.01846300,-6.35,0.08172382,0.09983303,outputs/collision_specificity8_base/videos/006_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed12006.mp4,outputs/collision_causal_gate_100_specificity8/videos/006_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed12006.mp4,outputs/collision_causal_gate_100_specificity8_contact_sheets/collision_validation_06.jpg
7,12007,single falling water droplet,0.02521201,0.00665007,73.62,0.35985586,0.35197815,outputs/collision_specificity8_base/videos/007_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed12007.mp4,outputs/collision_causal_gate_100_specificity8/videos/007_a-realistic-fixed-camera-macro-video-in-one-continuous-shot-during-the-f_seed12007.mp4,outputs/collision_causal_gate_100_specificity8_contact_sheets/collision_validation_07.jpg
