sample_id,mechanism,generalization_group,baseline,mean_rgb,spatial_std,dark_pixel_fraction,saturated_pixel_fraction,temporal_frame_mae,early_mae_vs_original,late_mae_vs_original,quality_collapse,video_path
eval_powder_impact_seen_seen_01,powder_impact,seen_seen,t2vunlearning_adapted,149.3394,69.0452,0.078825,0.000072,2.0198,25.2854,34.9679,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_seen_seen_01.mp4
eval_powder_impact_seen_seen_01,powder_impact,seen_seen,videoeraser_official,159.5920,75.8453,0.110212,0.148948,4.3751,44.7913,66.2363,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_seen_seen_01.mp4
eval_powder_impact_seen_seen_02,powder_impact,seen_seen,original,130.2629,71.1953,0.070749,0.015116,2.3735,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/powder_impact/videos/eval_powder_impact_seen_seen_02.mp4
eval_powder_impact_seen_seen_02,powder_impact,seen_seen,negative_prompt,126.7729,72.8377,0.132632,0.001013,3.6871,17.0839,33.5709,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/powder_impact/videos/eval_powder_impact_seen_seen_02.mp4
eval_powder_impact_seen_seen_02,powder_impact,seen_seen,t2vunlearning_adapted,116.2338,65.2050,0.091761,0.001353,3.8487,23.8370,42.9564,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_seen_seen_02.mp4
eval_powder_impact_seen_seen_02,powder_impact,seen_seen,videoeraser_official,125.1411,72.0210,0.163068,0.000238,5.1394,34.8403,60.1871,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_seen_seen_02.mp4
eval_powder_impact_seen_seen_03,powder_impact,seen_seen,original,172.9773,71.7333,0.039352,0.031900,2.3722,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/powder_impact/videos/eval_powder_impact_seen_seen_03.mp4
eval_powder_impact_seen_seen_03,powder_impact,seen_seen,negative_prompt,166.2719,83.5255,0.111694,0.062620,3.5597,20.5094,28.5720,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/powder_impact/videos/eval_powder_impact_seen_seen_03.mp4
eval_powder_impact_seen_seen_03,powder_impact,seen_seen,t2vunlearning_adapted,148.0994,69.8744,0.075224,0.000007,3.1110,34.4543,44.7571,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_seen_seen_03.mp4
eval_powder_impact_seen_seen_03,powder_impact,seen_seen,videoeraser_official,173.6163,85.2391,0.123758,0.195328,5.3299,27.6192,41.5080,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_seen_seen_03.mp4
eval_powder_impact_seen_seen_04,powder_impact,seen_seen,original,170.1602,83.2063,0.121413,0.003946,2.0851,0.0000,0.0000,false,outputs/protocol_v1/eval_cogvideox_original/powder_impact/videos/eval_powder_impact_seen_seen_04.mp4
eval_powder_impact_seen_seen_04,powder_impact,seen_seen,negative_prompt,161.1008,87.5277,0.142601,0.106072,3.0186,21.0017,32.4156,false,outputs/protocol_v1/eval_cogvideox_negative_prompt/powder_impact/videos/eval_powder_impact_seen_seen_04.mp4
eval_powder_impact_seen_seen_04,powder_impact,seen_seen,t2vunlearning_adapted,132.5358,57.3737,0.018144,0.000000,1.9946,73.3622,75.3172,false,outputs/protocol_v1/eval_t2vunlearning_adapted_ckpt100/powder_impact/videos/eval_powder_impact_seen_seen_04.mp4
eval_powder_impact_seen_seen_04,powder_impact,seen_seen,videoeraser_official,146.9620,100.6210,0.253756,0.210959,6.5370,41.2303,61.6118,false,outputs/protocol_v1/videoeraser_official/powder_impact/videos/eval_powder_impact_seen_seen_04.mp4
